Open:0.99980000, Max:0.99980000, Min:0.99930000, Close:0.99980000
Open:1.00110000, Max:1.00140000, Min:1.00080000, Close:1.00110000
Open:1.00100000, Max:1.00160000, Min:1.00100000, Close:1.00100000
Open:1.00110000, Max:1.00160000, Min:1.00090000, Close:1.00110000
Open:1.00100000, Max:1.00100000, Min:1.00040000, Close:1.00100000
Open:1.00080000, Max:1.00110000, Min:1.00040000, Close:1.00080000
Open:1.00090000, Max:1.00110000, Min:1.00010000, Close:1.00090000
Open:1.00050000, Max:1.00050000, Min:1.00000000, Close:1.00050000
Open:1.00000000, Max:1.00030000, Min:0.99970000, Close:1.00000000
Open:1.00000000, Max:1.00020000, Min:0.99980000, Close:1.00000000
Open:0.99990000, Max:1.00010000, Min:0.99970000, Close:0.99990000
Open:0.99970000, Max:0.99980000, Min:0.99950000, Close:0.99970000
Open:0.99950000, Max:0.99980000, Min:0.99950000, Close:0.99950000
Open:0.99970000, Max:1.00020000, Min:0.99970000, Close:0.99970000
Open:1.00010000, Max:1.00010000, Min:0.99990000, Close:1.00010000
Open:1.00000000, Max:1.00000000, Min:0.99940000, Close:1.00000000
Open:0.99950000, Max:0.99970000, Min:0.99950000, Close:0.99950000
Open:0.99960000, Max:1.00000000, Min:0.99950000, Close:0.99960000
Open:0.99980000, Max:0.99990000, Min:0.99980000, Close:0.99980000
Open:0.99990000, Max:0.99990000, Min:0.99980000, Close:0.99990000
Open:0.99980000, Max:0.99990000, Min:0.99980000, Close:0.99980000
Open:0.99990000, Max:0.99990000, Min:0.99980000, Close:0.99990000
Open:0.99980000, Max:0.99990000, Min:0.99980000, Close:0.99980000
Open:0.99980000, Max:0.99990000, Min:0.99980000, Close:0.99980000
Open:0.99980000, Max:0.99990000, Min:0.99980000, Close:0.99980000
Open:0.99980000, Max:0.99990000, Min:0.99980000, Close:0.99980000
Open:0.99980000, Max:0.99990000, Min:0.99960000, Close:0.99980000
Open:0.99990000, Max:1.00030000, Min:0.99970000, Close:0.99990000
Open:1.00000000, Max:1.00030000, Min:0.99990000, Close:1.00000000
Open:1.00000000, Max:1.00010000, Min:0.99980000, Close:1.00000000
Open:1.00000000, Max:1.00000000, Min:0.99980000, Close:1.00000000
Open:1.00000000, Max:1.00030000, Min:0.99990000, Close:1.00000000
Open:1.00010000, Max:1.00010000, Min:0.99990000, Close:1.00010000
Open:0.99990000, Max:1.00000000, Min:0.99960000, Close:0.99990000
Open:0.99970000, Max:1.00000000, Min:0.99960000, Close:0.99970000
Open:0.99990000, Max:1.00010000, Min:0.99980000, Close:0.99990000
Open:0.99990000, Max:1.00000000, Min:0.99990000, Close:0.99990000
Open:0.99990000, Max:1.00000000, Min:0.99980000, Close:0.99990000
Open:0.99990000, Max:1.00010000, Min:0.99990000, Close:0.99990000
Open:0.99990000, Max:1.00010000, Min:0.99990000, Close:0.99990000
Open:1.00000000, Max:1.00010000, Min:0.99970000, Close:1.00000000
Open:0.99990000, Max:0.99990000, Min:0.99970000, Close:0.99990000
Open:0.99980000, Max:0.99990000, Min:0.99970000, Close:0.99980000
Open:0.99980000, Max:1.00010000, Min:0.99980000, Close:0.99980000
Open:1.00000000, Max:1.00010000, Min:1.00000000, Close:1.00000000
Open:1.00010000, Max:1.00160000, Min:0.99080000, Close:1.00010000
Open:1.00110000, Max:1.01320000, Min:1.00100000, Close:1.00110000
Open:1.00210000, Max:1.00240000, Min:1.00100000, Close:1.00210000
Open:1.00130000, Max:1.00130000, Min:1.00030000, Close:1.00130000
Open:1.00070000, Max:1.00250000, Min:1.00070000, Close:1.00070000
Open:1.00140000, Max:1.00160000, Min:1.00000000, Close:1.00140000
Open:1.00120000, Max:1.00120000, Min:1.00010000, Close:1.00120000
Open:1.00070000, Max:1.00070000, Min:1.00010000, Close:1.00070000
Open:1.00030000, Max:1.00030000, Min:1.00000000, Close:1.00030000
Open:1.00000000, Max:1.00030000, Min:0.99980000, Close:1.00000000
Open:0.99980000, Max:1.00010000, Min:0.99960000, Close:0.99980000
Open:1.00010000, Max:1.00010000, Min:0.99980000, Close:1.00010000
Open:1.00010000, Max:1.00050000, Min:0.99920000, Close:1.00010000
Open:0.99980000, Max:1.00080000, Min:0.99560000, Close:0.99980000
Open:0.99910000, Max:0.99920000, Min:0.99840000, Close:0.99910000
Open:0.99880000, Max:0.99910000, Min:0.99880000, Close:0.99880000
Open:0.99900000, Max:0.99910000, Min:0.99890000, Close:0.99900000
Open:0.99900000, Max:0.99990000, Min:0.99890000, Close:0.99900000
Open:0.99980000, Max:0.99990000, Min:0.99970000, Close:0.99980000
Open:0.99970000, Max:1.00050000, Min:0.99970000, Close:0.99970000
Open:0.99990000, Max:1.00030000, Min:0.99980000, Close:0.99990000
Open:1.00010000, Max:1.00020000, Min:0.99990000, Close:1.00010000
Open:0.99990000, Max:1.00090000, Min:0.99880000, Close:0.99990000
Open:0.99970000, Max:0.99980000, Min:0.99850000, Close:0.99970000
Open:0.99970000, Max:1.00020000, Min:0.99850000, Close:0.99970000
Open:0.99980000, Max:0.99990000, Min:0.99950000, Close:0.99980000
Open:0.99970000, Max:1.00020000, Min:0.99810000, Close:0.99970000
Open:0.99950000, Max:0.99990000, Min:0.99950000, Close:0.99950000
Open:0.99990000, Max:1.00620000, Min:0.99560000, Close:0.99990000
Open:1.00130000, Max:1.00260000, Min:0.99560000, Close:1.00130000
Open:0.99840000, Max:1.10000000, Min:0.89940000, Close:0.99840000
Open:1.00030000, Max:1.00200000, Min:0.99520000, Close:1.00030000
Open:0.99900000, Max:1.00160000, Min:0.99120000, Close:0.99900000
Open:0.99890000, Max:1.00510000, Min:0.98010000, Close:0.99890000
Open:0.99900000, Max:1.00320000, Min:0.99570000, Close:0.99900000
Open:0.99800000, Max:1.00380000, Min:0.89900000, Close:0.99800000
Open:0.99930000, Max:1.00020000, Min:0.99560000, Close:0.99930000
Open:0.99900000, Max:1.00120000, Min:0.99530000, Close:0.99900000
Open:0.99970000, Max:1.00560000, Min:0.89960000, Close:0.99970000
Open:0.99830000, Max:1.00510000, Min:0.99670000, Close:0.99830000
Open:0.99970000, Max:1.00760000, Min:0.99690000, Close:0.99970000
Open:0.99960000, Max:1.09980000, Min:0.82200000, Close:0.99960000
